ticker,marketCap
LRCX,50185408512
LW,9899984896
LVS,33879062528
LEG,4752712704
LDOS,12935947264
LEN,21124036608
LLY,1.52592E+11
LNC,7189864960
LIN,1.28182E+11
LYV,10315258880
LKQ,8498945024
LMT,1.07962E+11
L,10376324096
LOW,1.11008E+11
LYB,22852831232
MTB,13485339648
MRO,4520584704
MPC,25165101056
MAR,28372400128
MMC,58011361280
MLM,13920288768
MAS,14269145088
MA,3.08068E+11
MXIM,17902495744
MCD,1.47759E+11
MCK,25183098880
MDT,1.29234E+11
MRK,1.94608E+11
MET,34688053248
MTD,20625477632
MGM,7787912192
MCHP,25298014208
MU,55572221952
MSFT,1.52404E+12
MAA,12723834880
MHK,6051394048
TAP,7951609344
MDLZ,78324727808
MNST,39429111808
MCO,54314999808
MS,79066619904
MOS,5181203456
MSI,24103596032
MSCI,32238680064
MYL,8250474496
NDAQ,21421111296
NOV,4945960960
NTAP,9582451712
NFLX,2.11886E+11
NWL,7269073920
NWSA,7481665024
NWS,7475793408
NEE,1.37168E+11
NLSN,5322186752
NKE,1.53062E+11
NI,9393888256
NBL,5226524672
JWN,2364916992
NSC,47908036608
NTRS,15821309952
NOC,52126363648
NLOK,12046414848
NCLH,3961891072
NRG,8345334272
NUE,12903634944
NVDA,2.50785E+11
NVR,14056870912
ORLY,32832952320
OXY,15565002752
ODFL,21494843392
OMC,12119846912
OKE,12751995904
ORCL,1.70772E+11
OTIS,25174882304
PCAR,29642633216
PKG,9748891648
PH,23445760000
PAYX,25899606016
PAYC,16806713344
PYPL,2.02582E+11
PNR,7023425536
PBCT,5095896064
PEP,1.89722E+11
PKI,12293672960
PRGO,7606264832
PFE,2.09195E+11
PM,1.19665E+11
PSX,28410075136
PNW,9154679808
PXD,16374534144
PNC,45406998528
PPG,26089615360
PPL,19764922368
PFG,12261070848
PG,3.11832E+11
PGR,51424280576
PRU,25564739584
PEG,26429018112
PSA,32399628288
PHM,11428509696
PVH,3557638400
QRVO,12806333440
PWR,5599480320
QCOM,99995033600
DGX,16715162624
RL,5191449088
RJF,9882676224
RTX,94045986816
O,19718946816
REG,6778374144
REGN,62474199040
RF,10479706112
RSG,27066068992
RMD,29286590464
RHI,6042963456
ROK,26198231040
ROL,15955697664
ROP,43352940544
ROST,30666240000
RCL,10907355136
SPGI,84307771392
SBAC,33340153856
SLB,27034540032
STX,12328264704
SEE,5798447104
SRE,36749504512
NOW,81085431808
SHW,56297816064
SPG,18519580672
SWKS,21957285888
SLG,3554452480
SNA,7704708096
SO,57919406080
LUV,18659960832
SWK,23567560704
SBUX,88533778432
STT,21971079168
STE,13282151424
SYK,74636402688
SIVB,11870186496
SYF,13752161280
SNPS,29158066176
SYY,27888531456
TMUS,1.29987E+11
TROW,30484738048
TPR,3719040000
TGT,61856858112
TEL,28785833984
FTI,3458116352
TFX,17997271040
TXN,1.18734E+11
TXT,7813662720
TMO,1.605E+11
TIF,14732739584
TJX,63355875328
TSCO,16943263744
TT,24820221952
TDG,23011008512
TRV,29905440768
TFC,50858803200
TWTR,29454972928
TSN,22157942784
UDR,10465505280
ULTA,11471256576
USB,55612227584
UAA,4701238784
UA,4707950592
UNP,1.19509E+11
UAL,9567554560
UNH,2.85263E+11
UPS,1.02039E+11
URI,11591324672
UHS,9178855424
UNM,3688004352
VFC,23334584320
VLO,23638388736
VAR,11548022784
VTR,13344892928
VRSN,24093347840
VRSK,29170923520
VZ,2.35287E+11
VRTX,72206049280
VIAC,15323665408
V,4.28665E+11
VNO,6690970624
VMC,16856199168
WRB,11380466688
WAB,11773179904
WMT,3.71665E+11
WBA,35103293440
DIS,2.12435E+11
WM,45274841088
WAT,13808735232
WEC,29521561600
WFC,1.0818E+11
WELL,21466769408
WST,19332354048
WDC,12842186752
WU,9233035264
WRK,7832093696
WY,19483439104
WHR,9792900096
WMB,23305570304
WLTW,27235950592
WYNN,7918590464
XEL,35648606208
XRX,3332432896
XLNX,24966297600
XYL,13358689280
YUM,28033835008
ZBRA,14333670400
ZBH,27734216704
ZION,5514580480
ZTS,68495990784
